Class Name,Season,Section,Class Number,Meeting Time,Location,Instructor,Insutructor Url,Syllabus Url
"CSC 697
",Summer I 2011-2012,Section:204,Class number:42122,Meeting time:-,Location:N/AatLoop Campus,Eric Sedgwick,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=121,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20124&ClassNbr=42122&fid=297813
"CSC 697
",Spring 2011-2012,Section:901,Class number:36448,Meeting time:-,Location:N/AatLoop Campus,Adam Steele,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=148,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20123&ClassNbr=36448&fid=298755
"CSC 697
",Spring 2011-2012,Section:902,Class number:36449,Meeting time:-,Location:N/AatLoop Campus,Adam Steele,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=148,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20123&ClassNbr=36449&fid=298755
"CSC 697
",Spring 2011-2012,Section:903,Class number:36450,Meeting time:-,Location:N/AatLoop Campus,Adam Steele,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=148,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20123&ClassNbr=36450&fid=298755
"CSC 697
",Spring 2011-2012,Section:904,Class number:36451,Meeting time:-,Location:N/AatLoop Campus,Adam Steele,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=148,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20123&ClassNbr=36451&fid=298755
"CSC 697
",Winter 2011-2012,Section:801,Class number:26069,Meeting time:-,Location:N/AatLoop Campus,Eric Sedgwick,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=121,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20122&ClassNbr=26069&fid=297813
"CSC 697
",Winter 2011-2012,Section:802,Class number:26070,Meeting time:-,Location:N/AatLoop Campus,Eric Sedgwick,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=121,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20122&ClassNbr=26070&fid=297813
"CSC 697
",Winter 2011-2012,Section:803,Class number:26071,Meeting time:-,Location:N/AatLoop Campus,Eric Sedgwick,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=121,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20122&ClassNbr=26071&fid=297813
"CSC 697
",Winter 2011-2012,Section:804,Class number:26072,Meeting time:-,Location:N/AatLoop Campus,Eric Sedgwick,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=121,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20122&ClassNbr=26072&fid=297813
"CSC 697
",Fall 2011-2012,Section:701,Class number:16087,Meeting time:-,Location:N/AatLoop Campus,Adam Steele,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=148,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20121&ClassNbr=16087&fid=298755
"CSC 697
",Fall 2011-2012,Section:702,Class number:16088,Meeting time:-,Location:N/AatLoop Campus,Adam Steele,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=148,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20121&ClassNbr=16088&fid=298755
"CSC 697
",Fall 2011-2012,Section:703,Class number:16089,Meeting time:-,Location:N/AatLoop Campus,Adam Steele,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=148,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20121&ClassNbr=16089&fid=298755
"CSC 697
",Fall 2011-2012,Section:704,Class number:16090,Meeting time:-,Location:N/AatLoop Campus,Adam Steele,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=148,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20121&ClassNbr=16090&fid=298755
"CSC 697
",Summer II 2010-2011,Section:501,Class number:41986,Meeting time:-,Location:N/AatLoop Campus,Eric Sedgwick,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=121,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20115&ClassNbr=41986&fid=297813
"CSC 697
",Summer II 2010-2011,Section:502,Class number:41987,Meeting time:-,Location:N/AatLoop Campus,Eric Sedgwick,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=121,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20115&ClassNbr=41987&fid=297813
"CSC 697
",Summer II 2010-2011,Section:503,Class number:41988,Meeting time:-,Location:N/AatLoop Campus,Eric Sedgwick,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=121,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20115&ClassNbr=41988&fid=297813
"CSC 697
",Summer II 2010-2011,Section:504,Class number:41989,Meeting time:-,Location:N/AatLoop Campus,Eric Sedgwick,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=121,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20115&ClassNbr=41989&fid=297813
"CSC 697
",Summer I 2010-2011,Section:201,Class number:41982,Meeting time:-,Location:N/AatLoop Campus,Adam Steele,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=148,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20114&ClassNbr=41982&fid=298755
"CSC 697
",Summer I 2010-2011,Section:202,Class number:41983,Meeting time:-,Location:N/AatLoop Campus,Adam Steele,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=148,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20114&ClassNbr=41983&fid=298755
"CSC 697
",Summer I 2010-2011,Section:203,Class number:41984,Meeting time:-,Location:N/AatLoop Campus,Adam Steele,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=148,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20114&ClassNbr=41984&fid=298755
"CSC 697
",Summer I 2010-2011,Section:204,Class number:41985,Meeting time:-,Location:N/AatLoop Campus,Adam Steele,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=148,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20114&ClassNbr=41985&fid=298755
